phase_n,phase,cycle,task,lens,owner,load,feasibility,current,ceiling,description,examples,status
03,Get paid,Daily / weekly,Chase and dunning,coordination,AR,Weeks,Simple,1,3,"Ask for the money on a set cadence, in a tone that does not destroy the relationship. Dunning is the chase sequence — reminder, then firmer, then stop-credit. The job is the cadence and the drafts. A human still makes the call on the hard accounts.",Lender: collections operations — this is the business. Retail: account stop-credit. Wholesale: dealer terms. Consulting: partners chasing partners' clients.,unmapped
03,Get paid,Daily / weekly,Allocate cash and unmatched receipts,coordination,AR,Weeks,Medium,1,3,"Money arrived in the bank. Match it to the invoice, the customer, and the entity. Unallocated cash is money we have but have not put against a bill. Debtor days then look better than they are. The job is the unmatched pile, not the easy matches.","Lender: borrower payments vs loan accounts vs fees. Retail: till, account, and marketplace. Wholesale: buyer settlements vs vehicles. Consulting: one payment against three invoices.",unmapped
03,Get paid,Daily / weekly,Payment plans and hardship,judgement,AR,Days,Complex,1,2,"The customer cannot pay on the original terms. Agree a plan, or refuse one, under a written policy. This is a credit decision, not a bookkeeping one. The job is the register and the policy. Do not let a tool grant hardship on its own.","Lender: this is core — CCCFA and responsible lending sit on it. Retail: account holds. Wholesale: dealer workout. Consulting: rare, and political.",unmapped
03,Get paid,Daily / weekly,Doubtful debts and write-off,judgement,FC,Days,Medium,1,2,"Decide what we no longer believe we will collect, and take it off the books or provision for it. A provision is the amount we expect to lose. Accounting rules want that estimate early. Tax wants a debt that is actually dead. The board wants neither as a surprise.",Lender: ECL on the book — material. Retail: account bad debts. Wholesale: dealer default. Consulting: a client that will not pay a disputed job.,unmapped
04,Capture what we owe,Daily,Capture supplier invoices,coordination,AP,Weeks,Simple,2,3,The supplier's bill arrived. Get it into the system before it becomes a surprise payment or a missed rebate. This is accounts payable — what we owe others. The job is capture first. Coding comes next.,"Lender: collection-agent and introducer invoices in the inbox. Retail: high-volume trade-supplier and freight bills. Wholesale: vehicle, parts, and yard costs. Consulting: contractor invoices that never look like a stock bill.",unmapped
04,Capture what we owe,Daily,"Match to PO, receipt, or contract",evidence,AP,Weeks,Medium,1,3,"Prove we ordered this, received this, and were charged the agreed price. A PO is a purchase order — our record of what we asked for. A receipt is proof the goods or work arrived. Without that match, accounts payable is just a pile of mail.",Retail: stock PO and GRN. Wholesale: vehicle and parts. Consulting: contractor vs SOW. Lender: more contract than PO.,unmapped
04,Capture what we owe,Daily,"Code, GST, and cost split",coordination,AP,Weeks,Medium,2,3,"Put the bill on the right account, with the right GST, split across the right jobs or sites. Coding is which ledger line it hits. GST is the tax on the supply. Silent miscodes are how the management accounts slowly go wrong.","Lender: mixed and exempt financial supplies — GST coding is a specialist list. Retail: stock vs overhead vs capex splits. Wholesale: secondhand scheme and vehicle GST. Consulting: mostly standard-rated time, except overseas and disbursements.",unmapped
04,Capture what we owe,Daily,Duplicate and fraud scan,evidence,AP,Days,Simple,1,3,"Stop paying the same bill twice, or paying a supplier whose bank account is not theirs. Exact duplicates get blocked. Near-duplicates and new bank accounts get a second pair of eyes. The job is the check before the payment run.","Lender: a duplicate payment to a broker or a changed bank account is a real loss. Retail: volume — same supplier, same amount, two weeks running. Wholesale: paying a vehicle out twice. Consulting: paying the same contractor invoice from two job codes.",unmapped
04,Capture what we owe,Daily,"Contractor, dealer, and introducer payables",coordination,AP,Days,Medium,1,3,"Pay the people who are not on payroll but whom you cannot afford to pay late — contractors, dealers, brokers, introducers. The amounts usually live in someone's spreadsheet. The job is a counterpart list, a calc from operational data, and a rec into accounts payable.",Consulting: contractors is the cost base. Wholesale: dealer settlements. Retail: installers. Lender: brokers and collection agents.,unmapped
05,Pay it out safely,Daily / weekly,Payment approval,judgement,FC,Weeks,Medium,2,2,"Confirm the payment is real, is ours, is the right amount, and that this person may approve it. Approval is the last serious fraud line in most businesses. The matrix lives in the system, not in a drawer. A human still says yes.","Lender: advancing a loan or paying a warehouse draw — large, few. Retail: many supplier runs, smaller tickets. Wholesale: a vehicle will not release without a large payment. Consulting: a lot of small contractor pays, easy to rubber-stamp.",unmapped
05,Pay it out safely,Daily / weekly,Dual-authority release,evidence,Treasury,Weeks,Simple,2,3,"The payment file leaves the building only when two people have released it. Dual authority means two people, not one person and a saved password. The file can only come from approved runs — payables, payroll, tax. No side door from a spreadsheet.",Lender: warehouse and IRD files leaving on a saved token. Retail: a weekly AP file one person both builds and releases. Wholesale: floorplan principal on one login. Consulting: payroll file released by the same person who ran it.,unmapped
05,Pay it out safely,Daily / weekly,Exception and urgent payments,judgement,FC,Days,Complex,1,2,"Someone needs money today, outside the normal payment run. Name the path: a reason, a limit, and a same-week rec back into the run. If exceptions are common, the run is wrong. The job is the named path, or the control is theatre.",Lender: a settlement that cannot miss. Retail: a supplier holding a delivery. Wholesale: a vehicle that will not release. Consulting: a contractor who will not start.,unmapped
05,Pay it out safely,Daily / weekly,"Payroll, tax, and facility disbursements",coordination,Treasury,Weeks,Simple,2,3,"Pay the things that are not supplier bills: wages, PAYE, GST, loan advances, warehouse draws. PAYE is tax withheld from staff pay. A warehouse draw is money taken from a funding line. Miss one and the problem is not a late supplier. The job is a calendar of these, on the same dual-authority as the rest.","Lender: advancing to borrowers is the product, plus PAYE and GST. Retail: wages, PAYE, GST. Wholesale: those plus floorplan principal. Consulting: wages, PAYE, GST — contractors sit in AP, not here.",unmapped
05,Pay it out safely,Daily / weekly,FX and overseas payments,evidence,Treasury,Hours,Medium,1,3,"Pay someone in a currency that is not New Zealand dollars. Capture the rate, the timing, and who took the FX risk — the chance the rate moves before the payment lands. Skip a full build if this is one payment a year.",Retail: imported stock. Wholesale: exported vehicles. Consulting: AU entities. Lender: usually NZD.,unmapped
06,Pay our people correctly,Each pay cycle,"Time, roster, and input capture",coordination,Payroll,Weeks,Simple,2,3,"Collect the hours, leave, allowances, and commission inputs before the pay run. Garbage here becomes a pay dispute and a general-ledger rec that never ties. The job is one intake, a manager approval, and a lock. No parallel spreadsheets.","Lender: mostly salary, plus allowances and overtime on collections. Retail: rostered hours and Sunday rates. Wholesale: roster plus deal-commission inputs. Consulting: timesheets are the product.",unmapped
06,Pay our people correctly,Each pay cycle,Pay run calculation,evidence,Payroll,Weeks,Medium,2,3,Turn the approved inputs into net pay — what hits each person's bank. Deterministic if the rules live in the payroll system. Painful if they live in someone's head. Finance recs the run and works the exceptions. Finance does not rebuild payroll.,Lender: salary plus collections overtime. Retail: rostered allowances and Sunday rates. Wholesale: deal commissions sitting next to ordinary pay. Consulting: time plus contractors that payroll should never have seen.,unmapped
06,Pay our people correctly,Each pay cycle,Leave and entitlements,judgement,Payroll,Days,Medium,1,2,"Show what leave and entitlements each person is owed, and whether that balance is even legal. In New Zealand the Holidays Act is a specialist problem pretending to be a payroll field. Flag anomalies. Do not let a general model interpret the Act.","Lender: mostly salaried leave — Holidays Act still bites on variable pay. Retail: rostered and variable hours, the usual mess. Wholesale: same, plus commission in average earnings. Consulting: salaried plus contractors who are not on leave at all.",unmapped
06,Pay our people correctly,Each pay cycle,Commissions and bonuses,evidence,FC,Days,Medium,1,3,"Calculate variable pay from deals, utilisation, or targets. The scheme is the written rules. The calc comes from operational data, then recs to payroll. Disputes are judgement. The arithmetic should not be.",Wholesale: deal commissions. Retail: branch and counter. Consulting: origination and utilisation. Lender: broker and sales.,unmapped
06,Pay our people correctly,Each pay cycle,Payroll statutory filings,evidence,Payroll,Days,Simple,2,3,"File PAYE, KiwiSaver, student loan, and ESCT on time, matching the pay run. These are the amounts we withhold or contribute for staff and must tell Inland Revenue. The file comes from the payroll system. Rec it to the bank payment.",Lender: payday filing plus any commission ESCT. Retail: payday filing on rostered staff. Wholesale: that plus commission. Consulting: payday filing; contractors are not in this return.,unmapped
06,Pay our people correctly,Each pay cycle,Payroll rec to the GL,evidence,FC,Weeks,Simple,1,3,"Prove the pay run matches the general ledger — wages, deductions, leave, and the clearing accounts that sit between payroll and the books. If this pack only appears at year-end, the year is a guess. The job is every cycle.","Lender: wages, deductions, and commission accruals to the GL. Retail: rostered pay vs the wage control account. Wholesale: pay plus deal-commission clearing. Consulting: payroll rec plus a separate contractor-vs-employee pack.",unmapped
07,Know what we own,Month-end / continuous,Inventory and stock movements,evidence,FC,Weeks,Medium,1,3,"Record units in and units out, at a cost you can defend. This is the stock book. Skip it if the business has no stock — a pure lender or a timesheet firm. Central to anyone who sells things. Finance recs the operational system. Finance does not re-key it.",Retail: this is the balance sheet. Wholesale: vehicles on the yard. Consulting: usually none. Lender: none — the book of loans sits in the next task.,unmapped
07,Know what we own,Month-end / continuous,"Stocktake, floorplan, or existence check",evidence,FC,Weeks,Medium,1,3,"Prove the thing is physically there — stock on the floor, vehicles on the yard, or kit on a list. A stocktake is that count. Floorplan is the financier's version of the same check. Finance owns the rec of differences, not the forklift.",Lender: skip stock — annual sighting of FA at most. Retail: full stocktake. Wholesale: yard count and floorplan check; the financier cares as much as the auditor. Consulting: skip stock — laptops and fitout only.,unmapped
07,Know what we own,Month-end / continuous,"Loan book, WIP, or the equivalent asset",evidence,FC,Weeks,Medium,1,3,"Rec the thing you are actually in business to hold — loans, unbilled time, vehicles, or stock — to the general ledger. A subledger is the detailed list. The GL is the books. If those two do not tie, you do not know the business.","Lender: the loan book. Consulting: WIP and unbilled. Wholesale: vehicle stock as the book. Retail: inventory, already above.",unmapped
07,Know what we own,Month-end / continuous,"Impairment, NRV, and provisioning on the book",judgement,CFO,Days,Complex,1,2,"Decide whether the book is still worth what we say it is. Impairment is writing it down. NRV is net realisable value — what we would actually get. Loans that will not pay, stock that will not move, WIP that will not bill, vehicles that will not clear. Present the pack. Do not auto-post the write-down.",Lender: credit losses. Retail: obsolete stock. Wholesale: aged units. Consulting: stuck WIP.,unmapped
07,Know what we own,Month-end / continuous,"Fixed assets — add, depreciate, dispose",coordination,FC,Days,Simple,1,3,"Keep the register of what we own that is not the trading book — premises, plant, vehicles, kit. Additions come from accounts payable. Depreciation is the cost spread over the life of the thing. Disposals hit the bank line. Tax and accounting often depreciate on two different clocks.","Lender: premises, IT, and collections kit — often under-registered. Retail: branches, racking, and fitout. Wholesale: yards, plant, and workshop. Consulting: laptops and office fitout, usually a drawer spreadsheet.",unmapped
08,Prove the cash is real,Daily / month-end,Bank reconciliation,coordination,FC,Weeks,Simple,2,3,"Prove the bank statement matches the cash in the books, or explain every line that does not. The bank statement is the bank's own record of what went in and out. The books are ours. The job is the rec between the two.","Lender: collections accounts vs the warehouse. Retail: trading account, tills, merchant settlement. Wholesale: auction settlement and floorplan accounts. Consulting: fewer banks, same unmatched pile.",unmapped
08,Prove the cash is real,Daily / month-end,"Merchant, till, auction, or marketplace rec",evidence,FC,Weeks,Medium,1,3,"Prove card, till, PX, auction-house, or marketplace takings match sales and then match the bank. Money took a detour before it landed. If you only rec the bank, you are rec'ing a net and missing the theft or the delay. The job is a rec per channel, next day, not at month-end.",Retail: tills and cards. Wholesale: auction settlement and PX. Lender: payment providers. Consulting: usually just the bank.,unmapped
08,Prove the cash is real,Daily / month-end,"Funding line, warehouse, or facility rec",evidence,Treasury,Days,Medium,1,3,"Prove what the bank thinks we have drawn matches what we think we have drawn, and whether we still pass their tests. A warehouse or facility is a funding line. Floorplan is the vehicle version of the same thing. The financier will have their own number. The job is the rec every cycle, with headroom next to it.",Lender: warehouse and funding lines are the oxygen. Wholesale: floorplan. Retail: stock facilities if any. Consulting: overdraft if any.,unmapped
08,Prove the cash is real,Daily / month-end,Subledger to GL rec,evidence,FC,Weeks,Simple,1,3,"Prove each detailed list — receivables, payables, payroll, stock, fixed assets — ties to the general ledger. A subledger is that detailed list. The GL is the books. The month is not closed until they agree. Silent differences are how the books rot.","Lender: loan book, AR, AP, payroll to GL. Retail: stock, AR, AP, payroll to GL. Wholesale: vehicle stock, AR, AP, payroll to GL. Consulting: WIP, AR, AP, payroll to GL.",unmapped
08,Prove the cash is real,Daily / month-end,Intercompany rec,evidence,FC,Days,Medium,1,3,Prove what we say another group company owes us matches what they say they owe us. Intercompany is money between our own entities. Unmatched items cannot close. Skip this if there is only one company.,"Lender: servicing entity vs book-holding entity. Retail: DC vs stores, or a buying company vs trading companies. Wholesale: auction vs retail yards. Consulting: AU/NZ or brand entities. Skip if there is one company.",unmapped
09,Close the books,Month-end,Close timetable and checklist,coordination,FC,Weeks,Simple,1,3,"Name who does what, by when, and what is allowed to slip, so the month can close. Close is the point the books are finished for the period. Recs are gates, not decorations. Without the checklist, close is a mood.",Lender: extra gates for ECL and facility recs. Retail: ops want numbers before the next buy. Wholesale: yard and auction cannot wait on a three-week close. Consulting: job-level numbers for Monday’s resourcing.,unmapped
09,Close the books,Month-end,Accruals and prepayments,judgement,FC,Weeks,Medium,1,2,"Book what we used but have not been billed for, and what we paid for but have not used. An accrual is the first. A prepayment is the second. New items need a reason. The job is a standing list, not a way to massage the month.",Lender: trail commissions and collection costs. Retail: goods in transit and uninvoiced freight. Wholesale: vehicles on the water or not yet settled. Consulting: contractor and WIP cut-off.,unmapped
09,Close the books,Month-end,Journals,evidence,FC,Weeks,Simple,2,3,Post the entries that did not come from a subledger — the manual adjustments to the books. This is also how fraud and error enter the general ledger. No unapproved journals. Recurring ones are templates. Someone who did not post them reads the monthly list.,Lender: provision and interest journals nobody else posted. Retail: stock and rebate journals. Wholesale: vehicle cost and floorplan journals. Consulting: WIP and revenue-recognition journals. The failure is always an unapproved manual entry.,unmapped
09,Close the books,Month-end,Flux and variance commentary,judgement,FP&A,Weeks,Medium,1,2,Explain why a line moved since last month or since budget. Flux is that movement. A generated paragraph nobody stands behind is worse than a blank. Surface the movers. A named human writes the comment.,Lender: why arrears and loss rate moved. Retail: why like-for-like and stock turn moved. Wholesale: why clearance and margin moved. Consulting: why utilisation and WIP moved.,unmapped
09,Close the books,Month-end,Management vs statutory adjustments,judgement,FC,Days,Medium,1,2,"Keep the two books in view all year: what we tell the board, and what the accounting and tax rules require. Statutory is the official set. Management is the operating set. The bridge is continuous. If it only appears in October for the auditor, the earlier jobs were not finished.",Lender: ECL vs tax-deductible bad debts. Retail: stock provisions and rebates. Wholesale: vehicle NRV vs tax. Consulting: WIP recognised for the board vs tax.,unmapped
10,Tax and statutory,Month / return / year,GST return,evidence,Tax,Weeks,Simple,2,3,"File the GST return on time, tied to the ledgers, not rebuilt from scratch. GST is the tax on supplies we charge and pay. If the return is rebuilt each period, coding upstream is broken. Vehicle and financial-supply rules need a specialist list, not a general model.",Lender: exempt and mixed financial supplies. Retail: volume on stock and freight. Wholesale: secondhand scheme and vehicle GST. Consulting: mostly standard-rated time.,unmapped
10,Tax and statutory,Month / return / year,"PAYE, FBT, and employment taxes",evidence,Payroll,Days,Simple,2,3,"File and pay the employment taxes beyond the pay run itself. PAYE is withheld from wages. FBT is fringe benefit tax — cars, car parks, staff accounts — and payroll often forgets it. The job is the return and the payment, as a close item, not a year-end surprise.",Lender: payday filing; FBT if there are staff cars. Retail: FBT on staff accounts and vehicles. Wholesale: yard and demo vehicles. Consulting: usually light — occasional staff car or car park.,unmapped
10,Tax and statutory,Month / return / year,Income tax and provisional,judgement,Tax,Days,Medium,1,2,"Work out what we will tell Inland Revenue we earned, and pay the provisional instalments on the way. Timing differences, losses, and tax positions live here. This is a tax adviser and CFO job. Do not file from a chatbot.",Lender: impairment vs deductible bad debts. Retail: stock write-downs and rebates. Wholesale: vehicle losses on aged units. Consulting: WIP write-downs and timing of fee income.,unmapped
10,Tax and statutory,Month / return / year,IFRS vs tax reconciling pack,evidence,FC,Days,Medium,1,3,"List every difference between the accounting books and the tax books — deferred tax, depreciation, revenue, provisions. If this pack is an October spreadsheet, the earlier jobs were not tagged. The job is a continuous listing, not a reconstruction.",Lender: ECL and effective interest. Retail: stock and rebates. Wholesale: vehicle NRV and secondhand GST. Consulting: WIP and revenue timing.,unmapped
10,Tax and statutory,Month / return / year,Statutory accounts pack,evidence,FC,Weeks,Medium,1,3,"Produce the annual (or periodic) financial statements. Tie-out means every number traces to the books. Casting means the columns add. Disclosure is the notes the rules require. Formatting is not accounting, but missing it is how the pack fails.","Lender: group pack if there is a servicing entity and a book entity. Retail: stores as companies, or a buying company. Wholesale: auction vs retail entities. Consulting: AU/NZ consolidation.",unmapped
11,Report and decide,Month / board cycle,Management accounts,coordination,FP&A,Weeks,Simple,2,3,"Produce the numbers the operators will actually use, from a closed set of books. Same pack every month, same page one. If this lands three weeks late, it is a history essay. Speed is the product. The commentary already happened in close.","Lender: contribution by product and introducer. Retail: store and category. Wholesale: yard, channel, and unit. Consulting: job and client — not a statutory P&L.",unmapped
11,Report and decide,Month / board cycle,Board and ELT pack,judgement,CFO,Days,Complex,1,2,"Put in front of the board and the executive the numbers they are asked to believe, and the decisions those numbers imply. ELT is the executive leadership team. Assemble from management accounts, cash, covenants, and two risks. Do not generate the narrative. A human locks the conclusion.","Lender: cash, covenants, and credit quality. Retail: cash, like-for-like, and stock. Wholesale: cash, clearance, and aged units. Consulting: cash, utilisation, and pipeline.",unmapped
11,Report and decide,Month / board cycle,Covenant and facility reporting,evidence,Treasury,Days,Simple,1,3,"Show headroom against the tests the bank actually wrote in the facility agreement. A covenant is one of those tests. Found late, this is how businesses die politely. Terms become data at origination. The calc runs every close.",Lender: always. Wholesale: floorplan. Retail: if geared. Consulting: if there is a facility.,unmapped
11,Report and decide,Month / board cycle,Margin and contribution analysis,judgement,FP&A,Days,Medium,1,2,"Show where we actually make money — jobs, products, vehicles, loans, customers. Contribution is revenue minus the costs that belong to that thing. If the allocations are fake, this is politics dressed as a report. Agree the map first. Then automate the calc.",Retail: SKU and store. Wholesale: unit and channel. Consulting: job and client. Lender: product and introducer.,unmapped
11,Report and decide,Month / board cycle,Cash position to the CEO,coordination,Treasury,Days,Simple,1,3,"Tell the CEO how much we can spend today. Not the cash line in the general ledger. Not last month's close. The number comes from reconciled bank accounts, plus known payments in the next five days. Only as good as the recs.","Lender: collected vs advanced vs warehouse headroom. Retail: tills and merchant in, supplier run out. Wholesale: settlements in, floorplan out. Consulting: receipts vs contractor and payroll week. Only as good as the recs.",unmapped
12,Evidence for outsiders,On demand / year-end,Auditor PBC and query log,coordination,FC,Weeks,Simple,1,3,"Keep the list of what the auditor asked finance to produce, whether we have it, and whether we already explained it last year. PBC is Prepared By Client — those packs, recs, and schedules. Repeat queries are how you end up retendering. The job is the log, carried across years.","Lender: loan-book, ECL, and facility packs. Retail: stock and cut-off. Wholesale: yard, floorplan, and settlements. Consulting: WIP and revenue. Same log: what they asked, whether we have it, whether we answered it last year.",unmapped
12,Evidence for outsiders,On demand / year-end,Workpaper and pack assembly,evidence,FC,Weeks,Medium,1,3,"Assemble the tie-outs, recs, provisions, and revenue workings in a form a reviewer can follow. A workpaper is that pack. If you are building it from scratch for the auditor, the close was not a close. The job is to assemble from packs that already exist.","Lender: loan-book rec, ECL workings, interest income tie-out, facility certificates. Retail: stock existence and valuation, GRN/cut-off, store-to-GL recs. Wholesale: yard listing vs GL, floorplan, auction settlement, unit cost. Consulting: WIP ageing, unbilled time, revenue by job — thinner file, same demand that a reviewer can follow it.",unmapped
12,Evidence for outsiders,On demand / year-end,"Bank, financier, and trustee certificates",evidence,Treasury,Days,Medium,1,3,"Someone outside the company needs a signed number — the bank, the financier, or the trustee. It has to match the books you already rec'd. Generate it from the facility rec and the close. A human signs. Do not invent a second number.","Lender: warehouse and trustee certificates, every cycle. Retail: only if there is a stock facility. Wholesale: floorplan certificates, routine. Consulting: only if there is an overdraft or landlord bond.",unmapped
12,Evidence for outsiders,On demand / year-end,"Policy, judgement, and estimate file",judgement,CFO,Days,Complex,1,2,"Write down why we recognise revenue this way, provision that way, capitalise or expense. These are the judgements an auditor tests by asking a sceptical question. Keep a dated library, with the last time each position was challenged. A model does not write the policy.","Lender: why this ECL, why this effective-interest treatment. Retail: why this stock NRV and rebate timing. Wholesale: when a vehicle is revenue, and at what NRV. Consulting: when WIP becomes a fee.",unmapped
12,Evidence for outsiders,On demand / year-end,Something worth flagging to another team,coordination,FC,Hours,Medium,1,3,"Route what finance saw — a margin that makes no sense, a customer that will not pay, a process that is on fire — to sales, ops, or credit. Today it depends on whether someone mentions it in a corridor. The job is one prompt at close, then a route. It feeds the next spine, not this one.",Lender: a broker or a product that is losing money — credit or sales. Retail: a SKU or store that does not contribute — ops or buying. Wholesale: a channel or aged unit problem — the yard. Consulting: a client or job that will not convert — delivery or sales.,unmapped
